provider,plz,weekly_parcels,n_stops,area_km2,hub_dist_km,b2c_share,parcels_per_stop,parcels_per_km2,break_even_penalty
DPD,30827,1601,145,10.610683695060029,23.76,0.7751405371642723,11.041379310344828,150.88565883321644,2.0
DPD,30851,1281,96,4.12190647126244,15.63,0.7985948477751756,13.34375,310.7785217668126,2.0
DPD,30853,1470,120,8.711379660258004,15.68,0.753061224489796,12.25,168.74479787699474,2.0
DPD,30855,6668,265,59.06346106841505,19.88,0.7303539292141572,25.162264150943397,112.89551745496674,0.5
DPD,30880,3235,328,33.960996603727956,12.89,0.7709428129829985,9.862804878048781,95.25633295593241,1.5
DPD,30890,2726,451,102.53407734275534,32.64,0.8404255319148937,6.044345898004434,26.586283025568267,2.0
DPD,30900,2839,515,173.55971997363926,25.52,0.8411412469179288,5.512621359223301,16.357482026539312,2.0
DPD,30916,2914,308,59.876286869182046,10.68,0.773850377487989,9.46103896103896,48.667012474679986,1.5
DPD,30926,2637,384,53.8021301528445,25.6,0.8395904436860068,6.8671875,49.012929274522094,2.0
DPD,30938,2412,317,153.22446344831192,17.56,0.7371475953565506,7.608832807570978,15.74161165729031,2.0
DPD,30952,1895,266,37.755537878390655,21.73,0.7952506596306068,7.12406015037594,50.19131249311644,2.0
DPD,30966,1807,217,31.832385676522556,17.93,0.813503043718871,8.327188940092165,56.76608779381316,2.0
DPD,30974,1280,224,53.82702268136371,28.84,0.8484375,5.714285714285714,23.779877396844554,3.0
DPD,30982,1278,218,66.6831619829418,20.59,0.8646322378716745,5.862385321100917,19.16525794513051,5.0
DPD,30989,1356,242,43.13135688268341,25.63,0.8370206489675516,5.603305785123967,31.438843987410316,3.0
DPD,31275,3643,516,129.47251256919432,4.47,0.8254186110348614,7.060077519379845,28.137246491243168,1.5
