provider,plz,weekly_parcels,n_stops,area_km2,hub_dist_km,b2c_share,parcels_per_stop,parcels_per_km2,schedule_size,schedule_weekdays,schedule_idx,ml_cost_eur,avg_wait_d,max_wait_d,service_penalty_eur
Amazon,30177,2906,79,3.576189607493106,13.99,0.9807295251204404,36.78481012658228,812.5967353383967,4,"Tue,Thu,Fri,Sat",30,3694.034096814712,0.3333333333333333,1.0,484.3333333333333
Amazon,30179,2781,95,8.305970462175056,12.08,0.9956850053937433,29.273684210526316,334.8193943940115,4,"Mon,Tue,Thu,Fri",20,3757.4943099936736,0.3333333333333333,1.0,463.5
Amazon,30419,6859,265,23.77191867081394,6.74,0.9937308645575157,25.883018867924527,288.53371471530244,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,8831.073543589806,0.0,0.0,0.0
Amazon,30449,5275,159,5.186686836161483,12.61,0.9753554502369668,33.17610062893082,1017.0268933961463,5,"Mon,Wed,Thu,Fri,Sat",36,6845.481595904044,0.16666666666666666,1.0,439.5833333333333
Amazon,30453,3593,139,9.157258958740023,9.82,0.985249095463401,25.848920863309353,392.36632011708144,5,"Mon,Wed,Thu,Fri,Sat",36,4810.516130347987,0.16666666666666666,1.0,299.41666666666663
Amazon,30455,3165,158,6.967819653017212,9.84,0.9958925750394945,20.031645569620252,454.2310446610782,4,"Tue,Wed,Fri,Sat",29,4253.192709026667,0.3333333333333333,1.0,527.5
Amazon,30457,3134,135,6.068989648841514,13.37,0.9907466496490108,23.214814814814815,516.3956739649799,4,"Tue,Wed,Thu,Sat",28,4247.143821639218,0.3333333333333333,1.0,522.3333333333333
Amazon,30459,3087,124,7.274391190340525,13.92,0.9944930353093618,24.89516129032258,424.3654100014785,3,"Mon,Wed,Fri",6,3817.3685885434597,0.5,1.0,771.75
Amazon,30519,5508,242,13.714884737746763,17.38,0.9894698620188817,22.760330578512395,401.60745827054734,5,"Tue,Wed,Thu,Fri,Sat",37,7840.284520799567,0.16666666666666666,1.0,459.0
Amazon,30539,3516,157,19.21423828970633,21.37,0.9926052332195677,22.394904458598727,182.9892992366828,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,5627.962235893593,0.0,0.0,0.0
Amazon,30559,5369,222,19.484913733542946,20.15,0.9960886571056062,24.184684684684683,275.54651118405303,5,"Mon,Wed,Thu,Fri,Sat",36,7704.482804259402,0.16666666666666666,1.0,447.41666666666663
Amazon,30625,3180,114,8.86389555258122,16.66,0.9927672955974842,27.894736842105264,358.7587400072607,4,"Tue,Wed,Thu,Sat",28,4310.01968882198,0.3333333333333333,1.0,530.0
Amazon,30627,2090,79,3.3903855235675273,17.89,0.9971291866028709,26.455696202531644,616.449069131466,5,"Mon,Tue,Wed,Thu,Fri",32,3205.634957502494,0.16666666666666666,1.0,174.16666666666666
Amazon,30629,2757,122,14.669809711755617,20.32,0.9974610083424011,22.598360655737704,187.9369981050732,4,"Tue,Thu,Fri,Sat",30,3915.216081380332,0.3333333333333333,1.0,459.5
Amazon,30655,3642,137,4.462508901721823,16.14,0.9914881933003844,26.583941605839417,816.1328257731349,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,5359.615227592288,0.0,0.0,0.0
Amazon,30657,3559,138,12.670949194485747,15.05,0.9859511098623209,25.78985507246377,280.878720715638,5,"Mon,Wed,Thu,Fri,Sat",36,4911.6103371973395,0.16666666666666666,1.0,296.5833333333333
Amazon,30659,3002,130,11.3882150903338,18.11,0.9966688874083944,23.092307692307692,263.6058395619931,3,"Mon,Wed,Fri",6,3966.7719630542506,0.5,1.0,750.5
Amazon,30823,4370,222,12.528872220645557,1.29,0.9967963386727688,19.684684684684683,348.79436257630164,5,"Mon,Tue,Wed,Thu,Fri",32,5599.234334920914,0.16666666666666666,1.0,364.16666666666663
Amazon,30826,3852,233,56.38950461206911,3.98,1.0,16.532188841201716,68.31058415036247,4,"Mon,Tue,Thu,Sat",21,4995.673893969547,0.3333333333333333,1.0,642.0
Amazon,30827,3498,150,10.610683695060029,3.78,0.9959977129788451,23.32,329.66772929331114,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,4799.600856921735,0.0,0.0,0.0
Amazon,30851,3032,96,4.12190647126244,11.33,0.9924142480211082,31.583333333333332,735.5819500366713,3,"Mon,Wed,Fri",6,3578.8524614688995,0.5,1.0,758.0
