window,penalty,share_willing,total_cost_eur,avg_wait_days,cost_savings_pct
3,0.25,0.0,1977116.5677979258,0.0,0.0
3,0.25,0.1,1934390.6007544352,0.04495648376123861,2.161024177298659
3,0.25,0.2,1891664.6337109446,0.08991296752247722,4.322048354597318
3,0.25,0.30000000000000004,1848938.6666674535,0.13486945128371586,6.483072531896001
3,0.25,0.4,1806212.6996239626,0.17982593504495445,8.644096709194672
3,0.25,0.5,1763486.7325804718,0.2247824188061931,10.805120886493343
3,0.25,0.6000000000000001,1720760.7655369807,0.2697389025674317,12.966145063792025
3,0.25,0.7000000000000001,1678034.7984934899,0.31469538632867033,15.127169241090696
3,0.25,0.8,1635308.831449999,0.3596518700899089,17.28819341838937
3,0.25,0.9,1592582.8644065084,0.4046083538511476,19.44921759568803
3,0.25,1.0,1549856.8973630175,0.4495648376123862,21.6102417729867
3,0.5,0.0,1977116.5677979258,0.0,0.0
3,0.5,0.1,1943694.0124623198,0.023765856773781534,1.6904696404841408
3,0.5,0.2,1910271.4571267138,0.04753171354756307,3.3809392809682817
3,0.5,0.30000000000000004,1876848.9017911076,0.0712975703213446,5.071408921452435
3,0.5,0.4,1843426.3464555014,0.09506342709512614,6.761878561936587
3,0.5,0.5,1810003.7911198954,0.11882928386890766,8.452348202420728
