provider,plz,weekly_parcels,dd_cost_balanced,schedule_size_balanced,avg_wait_d_balanced,daily_cost,saving_pct,area_km2,hub_dist_km,n_stops,raumtyp_3,raumtyp_8_name,hubdist_bin
DPD,30627,971,1393.6959658112903,4,0.5,1734.323815852828,19.64038358511723,3.3903855235675273,8.59,77,suburban,Städtisch mit Verdichtungsansätzen,5-10km
DPD,30629,1173,1961.439631134332,4,0.5,2209.7242260325893,11.235999133884476,14.669809711755617,6.08,121,suburban,Städtisch mit Verdichtungsansätzen,5-10km
DPD,30655,1537,1940.0786357268207,3,0.6666666666666666,2902.8311877698657,33.16598485297008,4.462508901721823,10.23,132,suburban,Städtisch mit Verdichtungsansätzen,10-20km
DPD,30657,1866,2438.398196722085,3,0.6666666666666666,3254.827165454566,25.083635082001646,12.670949194485747,12.26,136,rural,Umland dörflich ohne gewerblichen Einfluss,10-20km
DPD,30659,1368,2099.7087768838,3,0.6666666666666666,2732.1680399331904,23.148622405555106,11.3882150903338,8.73,122,suburban,Städtisch mit gewerblicher Prägung,5-10km
DPD,30823,1867,2727.458325625983,2,1.0,4031.85332034608,32.35224327575817,12.528872220645557,25.25,211,suburban,Städtisch mit Verdichtungsansätzen,20km+
DPD,30826,1639,2701.4695786577613,2,1.0,4659.6772590054525,42.024534565418485,56.38950461206911,27.87,212,rural,Umland dörflich mit geringem gewerblichem Einfluss,20km+
DPD,30827,1601,2537.372127908892,3,0.5,3693.9834286058094,31.310679190930973,10.610683695060029,23.76,145,suburban,Umland Verstädtert,20km+
DPD,30851,1281,1640.33351489885,3,0.6666666666666666,2392.87153119302,31.449160829748987,4.12190647126244,15.63,96,suburban,Umland Verstädtert,10-20km
DPD,30853,1470,2291.025308262432,3,0.6666666666666666,3054.623065805542,24.9981009470882,8.711379660258004,15.68,120,suburban,Umland Verstädtert,10-20km
DPD,30855,6668,8541.98333332441,4,0.3333333333333333,9651.557570967712,11.496323049255265,59.06346106841505,19.88,265,suburban,Städtisch mit Verdichtungsansätzen,10-20km
DPD,30880,3235,4431.281874692281,3,0.5,5651.747006229777,21.59447565845053,33.960996603727956,12.89,328,suburban,Umland Verstädtert,10-20km
DPD,30890,2726,5038.222340895184,3,0.6666666666666666,6923.102121964851,27.22594218406124,102.53407734275534,32.64,451,rural,Umland dörflich ohne gewerblichen Einfluss,20km+
DPD,30900,2839,4709.795185260425,2,1.0,7912.531093330155,40.47675605053189,173.55971997363926,25.52,515,rural,Umland dörflich mit geringem gewerblichem Einfluss,20km+
