provider,plz,penalty,share_willing,total_eur,baseline_eur,saving_pct,area_km2,hub_dist_km,n_stops,weekly_parcels,raumtyp_3
GLS,30163,0.0,0.0,4530.9209569497225,4530.9209569497225,0.0,6.17992293720077,13.11,162,2801,urban
GLS,30165,0.0,0.0,2518.402065806431,2518.402065806431,0.0,4.951012974183712,14.79,86,1358,urban
GLS,30167,0.0,0.0,3486.1823236641876,3486.1823236641876,0.0,5.368928981069905,13.23,133,2147,urban
GLS,30173,0.0,0.0,2554.876072428404,2554.876072428404,0.0,4.775461708125837,9.02,83,1424,urban
GLS,30179,0.0,0.0,2012.9451781141186,2012.9451781141186,0.0,8.305970462175056,15.58,89,1034,suburban
GLS,30419,0.0,0.0,5101.804856969734,5101.804856969734,0.0,23.77191867081394,17.6,248,2617,suburban
GLS,30449,0.0,0.0,3412.5020081467483,3412.5020081467483,0.0,5.186686836161483,10.84,150,1981,urban
GLS,30453,0.0,0.0,3168.728615727752,3168.728615727752,0.0,9.157258958740025,13.29,125,1373,suburban
GLS,30455,0.0,0.0,2732.89498767275,2732.89498767275,0.0,6.967819653017212,13.26,149,1201,suburban
GLS,30457,0.0,0.0,2344.3788154149365,2344.3788154149365,0.0,6.068989648841514,10.08,128,1189,suburban
GLS,30459,0.0,0.0,2084.898287419,2084.898287419,0.0,7.274391190340525,9.13,113,1169,urban
GLS,30519,0.0,0.0,3551.9496596439303,3551.9496596439303,0.0,13.714884737746765,6.3,224,2084,urban
GLS,30539,0.0,0.0,2580.3663075652257,2580.3663075652257,0.0,19.21423828970633,5.29,145,1310,rural
GLS,30559,0.0,0.0,3658.07773972127,3658.07773972127,0.0,19.484913733542943,8.92,208,2040,suburban
GLS,30625,0.0,0.0,2259.1204653397162,2259.1204653397162,0.0,8.86389555258122,10.34,105,1185,urban
GLS,30627,0.0,0.0,1778.1322716706136,1778.1322716706136,0.0,3.390385523567528,11.43,78,774,suburban
GLS,30629,0.0,0.0,2143.7517893568083,2143.7517893568083,0.0,14.669809711755615,12.94,116,1080,suburban
GLS,30655,0.0,0.0,2960.5284409044616,2960.5284409044616,0.0,4.462508901721823,13.05,124,1383,suburban
GLS,30657,0.0,0.0,2873.29432340711,2873.29432340711,0.0,12.670949194485749,16.66,127,1325,rural
GLS,30659,0.0,0.0,2313.189380462103,2313.189380462103,0.0,11.3882150903338,14.84,124,1138,suburban
GLS,30823,0.0,0.0,4081.0154973189988,4081.0154973189988,0.0,12.528872220645557,21.76,209,1687,suburban
GLS,30826,0.0,0.0,4802.849009920454,4802.849009920454,0.0,56.38950461206911,26.25,214,1480,rural
GLS,30827,0.0,0.0,3413.7429042160657,3413.7429042160657,0.0,10.610683695060027,22.43,133,1331,suburban
GLS,30851,0.0,0.0,2060.2946146334557,2060.2946146334557,0.0,4.12190647126244,17.37,95,1137,suburban
GLS,30853,0.0,0.0,2481.088173620477,2481.088173620477,0.0,8.711379660258004,18.94,117,1083,suburban
GLS,30855,0.0,0.0,8370.230959567252,8370.230959567252,0.0,58.08159729436245,22.3,262,5111,suburban
GLS,30880,0.0,0.0,4450.294123718125,4450.294123718125,0.0,33.96099660372796,1.58,305,2630,suburban
GLS,30890,0.0,0.0,6293.752660817818,6293.752660817818,0.0,102.53407734275534,23.44,436,2471,rural
GLS,30900,0.0,0.0,7176.610893793414,7176.610893793414,0.0,173.55971997363926,31.36,490,2487,rural
GLS,30916,0.0,0.0,5182.054562818042,5182.054562818042,0.0,59.876286869182046,19.31,308,2276,suburban
GLS,30926,0.0,0.0,5707.156100114085,5707.156100114085,0.0,53.8021301528445,20.06,381,2421,rural
GLS,30938,0.0,0.0,5298.987880460923,5298.987880460923,0.0,153.22446344831192,28.43,321,1873,rural
GLS,30952,0.0,0.0,4052.359581403284,4052.359581403284,0.0,37.755537878390655,11.4,259,1710,suburban
GLS,30966,0.0,0.0,3510.9395596477075,3510.9395596477075,0.0,31.83238567652256,6.33,220,1619,rural
GLS,30974,0.0,0.0,3101.933528043918,3101.933528043918,0.0,53.82702268136371,16.59,214,1120,rural
GLS,30982,0.0,0.0,2386.647671549595,2386.647671549595,0.0,66.6831619829418,6.34,209,1154,rural
GLS,30989,0.0,0.0,3148.477695946504,3148.477695946504,0.0,43.13135688268341,16.28,231,1172,rural
GLS,31275,0.0,0.0,6805.937726269975,6805.937726269975,0.0,129.47251256919432,17.38,507,3227,suburban
