penalty,share_willing,provider,day,n_plz,n_routes,distance_km,vroom_cost_eur,parcels,parcels_per_route,km_per_route,km_per_parcel,eur_per_parcel
0.0,1.0,GLS,4,17,76,3791.3810000000003,21303.77,16309,214.5921052631579,49.88659210526316,0.23247170274081796,1.306258507572506
0.0,1.0,GLS,5,15,62,4214.464,18646.04,12390,199.83870967741936,67.97522580645162,0.3401504439063761,1.5049265536723164
0.0,1.0,Hermes,0,14,86,4252.332,24047.56,18312,212.93023255813952,49.44572093023256,0.23221559633027525,1.3132131935342946
0.0,1.0,Hermes,1,19,87,4334.976,24475.56,18012,207.0344827586207,49.82731034482758,0.24067155229846768,1.3588474350433046
0.0,1.0,Hermes,2,15,105,5194.371,29405.97,22396,213.2952380952381,49.4702,0.23193297910341132,1.3130009823182711
0.0,1.0,Hermes,3,13,104,4926.491,28480.14,22647,217.7596153846154,47.37010576923077,0.21753393385437364,1.2575678897867266
0.0,1.0,Hermes,4,19,102,4952.649,28310.5,21634,212.09803921568627,48.55538235294118,0.2289289544235925,1.3086114449477675
0.0,1.0,Hermes,5,15,90,4649.991,25727.309999999998,19225,213.61111111111111,51.66656666666667,0.24187209362808842,1.3382215864759426
0.0,1.0,UPS,0,15,83,4271.035,23027.37,17534,211.25301204819277,51.45825301204819,0.24358589027033192,1.313298163567925
0.0,1.0,UPS,1,13,84,3199.41,21684.0,17892,213.0,38.08821428571429,0.178817907444668,1.2119382964453387
0.0,1.0,UPS,2,13,98,4126.8099999999995,25431.190000000002,21722,221.6530612244898,42.110306122448975,0.18998296657766317,1.170757296749839
0.0,1.0,UPS,3,15,96,4890.717,26399.39,20583,214.40625,50.944968749999994,0.23760953213817226,1.282582228052276
0.0,1.0,UPS,4,13,98,3630.031,25003.75,21042,214.71428571428572,37.041132653061226,0.17251359186389126,1.1882782054937744
0.0,1.0,UPS,5,12,81,3489.751,21153.03,16876,208.34567901234567,43.083345679012346,0.2067878051671012,1.2534386110452713
0.25,1.0,Amazon,0,31,173,9219.287,48730.75,36738,212.35838150289018,53.290676300578035,0.25094689422396427,1.326439925962219
0.25,1.0,Amazon,1,27,173,9452.244,48836.770000000004,37523,216.89595375722544,54.6372485549133,0.25190533805932364,1.3015156037630256
0.25,1.0,Amazon,2,25,176,8379.933,48393.65,38492,218.70454545454547,47.61325568181819,0.2177058349786969,1.2572391665800686
0.25,1.0,Amazon,3,19,176,9858.071,48514.1,38770,220.2840909090909,56.01176704545455,0.25427059582151146,1.2513309259736909
0.25,1.0,Amazon,4,25,176,8912.742,48348.9,37918,215.4431818181818,50.64057954545455,0.23505306187035183,1.275090985811488
0.25,1.0,Amazon,5,26,176,8935.288,48790.29,38236,217.25,50.76868181818182,0.23368783345538238,1.2760301809812742
0.25,1.0,DHL,0,42,360,6895.472,83624.53,78748,218.74444444444444,19.15408888888889,0.0875637730482044,1.0619257631939858
0.25,1.0,DHL,1,41,400,7350.69,91846.52,87858,219.645,18.376725,0.08366557399440006,1.0453973457169523
0.25,1.0,DHL,2,35,410,7254.469,93047.12,90997,221.94390243902438,17.693826829268293,0.07972206776047562,1.0225295339406792
0.25,1.0,DHL,3,35,407,7283.737,92422.43000000001,89765,220.55282555282557,17.896159705159704,0.08114228262685902,1.0296043001169721
0.25,1.0,DHL,4,35,408,6732.023,91879.55,90482,221.76960784313727,16.50005637254902,0.07440179262173692,1.0154456134921863
0.25,1.0,DHL,5,45,360,7275.294,84732.02,78184,217.17777777777778,20.20915,0.09305348920495242,1.083751406937481
0.25,1.0,DPD,0,20,78,4775.93,22524.74,16152,207.07692307692307,61.2298717948718,0.29568660227835564,1.3945480435859336
0.25,1.0,DPD,1,23,78,4523.408,22485.99,15658,200.74358974358975,57.99241025641026,0.2888879805850045,1.4360703793587943
0.25,1.0,DPD,2,18,85,5826.167,24885.57,17826,209.71764705882353,68.5431411764706,0.3268353528553798,1.3960265903736115
0.25,1.0,DPD,3,16,87,4974.7119999999995,24410.940000000002,18401,211.50574712643677,57.180597701149416,0.27035008966903973,1.3266094234009023
0.25,1.0,DPD,4,18,84,4861.769,23779.7,18051,214.89285714285714,57.87820238095238,0.26933516148689823,1.3173619190072572
