provider,plz,weekly_parcels,schedule_size,weekly_cost,cost_per_parcel
DHL,30853,7164,2,7385.487818770737,1.0309167809562727
DHL,30853,7164,3,7482.553158103319,1.0444658232975041
DHL,30853,7164,4,7597.98382587196,1.0605784234885482
DHL,30853,7164,5,7727.199217203536,1.0786151894477298
DHL,30853,7164,6,8081.264573628573,1.1280380476868472
DHL,30855,32854,2,34284.3165890745,1.0435355387190144
DHL,30855,32854,3,32694.13295174917,0.9951340156982154
DHL,30855,32854,4,32712.90922887573,0.9957055222766096
DHL,30855,32854,5,32751.506528702565,0.9968803350795205
DHL,30855,32854,6,33051.88482630373,1.0060231577982508
DHL,30880,16161,2,16112.218415071386,0.9969815243531579
DHL,30880,16161,3,16250.509830875326,1.0055386319457538
DHL,30880,16161,4,16666.84343320364,1.031300255751726
DHL,30880,16161,5,17094.18880160134,1.0577432585608155
DHL,30880,16161,6,17543.588543093058,1.0855509277330027
DHL,30890,13989,2,13832.764612789879,0.988831554277638
DHL,30890,13989,3,14269.214805103824,1.0200310819289315
DHL,30890,13989,4,14735.095224692948,1.05333442166652
DHL,30890,13989,5,15278.059830001279,1.0921481042248395
DHL,30890,13989,6,15879.606630236107,1.1351495196394386
DHL,30900,14609,2,15010.284088156157,1.0274682790167813
DHL,30900,14609,3,15383.861354130164,1.053039999598204
DHL,30900,14609,4,15995.2403088405,1.0948894728482785
DHL,30900,14609,5,16700.926597014728,1.1431943731271632
DHL,30900,14609,6,17392.37023957678,1.190524350713723
DHL,30916,14499,2,15303.88587899421,1.0555131994616325
DHL,30916,14499,3,15622.987457362588,1.0775217226955367
DHL,30916,14499,4,15867.86252473094,1.0944108231416607
DHL,30916,14499,5,16260.756254761898,1.1215088112809088
DHL,30916,14499,6,16814.19217447788,1.159679438201109
DHL,30926,13519,2,12671.9648472766,0.9373448366947703
DHL,30926,13519,3,12994.541448565025,0.9612058176318533
DHL,30926,13519,4,13419.995921587028,0.9926766714688237
DHL,30926,13519,5,13951.702621933238,1.032006999181392
DHL,30926,13519,6,14504.627248139497,1.0729068161949475
DHL,30938,12030,2,13024.14883821446,1.0826391386711938
DHL,30938,12030,3,13187.314832648208,1.0962023967288619
DHL,30938,12030,4,13601.712725181442,1.1306494368396875
DHL,30938,12030,5,14225.980763719042,1.182542041871907
DHL,30938,12030,6,14869.056447491392,1.2359980421854857
DHL,30952,9709,2,9825.223938962023,1.0119707425030406
DHL,30952,9709,3,10044.001653158193,1.03450423866085
DHL,30952,9709,4,10284.45608148095,1.0592703760923834
DHL,30952,9709,5,10715.478070457564,1.1036644423171866
DHL,30952,9709,6,11193.92604771929,1.1529432534472437
DHL,30966,9182,2,9336.21292932867,1.0167951349737172
DHL,30966,9182,3,9518.781389836464,1.036678434963675
DHL,30966,9182,4,9815.513351598946,1.0689951373991446
DHL,30966,9182,5,10142.509061177489,1.1046078263098986
DHL,30966,9182,6,10553.71005028791,1.1493912056510465
DHL,30974,6515,2,6232.887111806391,0.9566979450201675
DHL,30974,6515,3,6448.428494422082,0.9897818103487462
DHL,30974,6515,4,6854.458850810763,1.0521041981290502
DHL,30974,6515,5,7326.546395805718,1.1245658320499952
DHL,30974,6515,6,7801.066164557959,1.197400792718029
DHL,30982,6551,2,6450.221886776058,0.9846163771601372
DHL,30982,6551,3,6856.008795304211,1.0465591200281195
DHL,30982,6551,4,7241.9215062262165,1.105468097424243
DHL,30982,6551,5,7686.763101313377,1.1733724776848384
DHL,30982,6551,6,8143.622738570672,1.2431113934621694
DHL,30989,6841,2,7167.914685561755,1.047787558187656
DHL,30989,6841,3,7425.38028027579,1.0854232247150695
DHL,30989,6841,4,7890.679133236414,1.1534394289192242
DHL,30989,6841,5,8149.023366726813,1.1912035326307284
DHL,30989,6841,6,8614.322219687436,1.2592197368348832
DHL,31275,18743,2,18039.66859251783,0.9624749822609951
DHL,31275,18743,3,18332.633201279423,0.9781055968243837
DHL,31275,18743,4,18940.317762752034,1.010527544296646
DHL,31275,18743,5,19509.19217822135,1.0408788442736676
DHL,31275,18743,6,20219.957663244943,1.0788004942242406
DHL,31303,12605,2,12039.725071343959,0.9551547061756414
DHL,31303,12605,3,12550.972184258359,0.9957137789970931
DHL,31303,12605,4,13090.828508273875,1.0385425234648056
DHL,31303,12605,5,13701.193464479402,1.0869649713986038
DHL,31303,12605,6,14306.83260882449,1.1350125036750884
DHL,31311,8577,2,8687.709513340757,1.0129077198718381
DHL,31311,8577,3,8986.933323669753,1.0477944880109307
DHL,31311,8577,4,9313.66944610817,1.0858889409010342
DHL,31311,8577,5,9822.438444718215,1.1452067674849264
DHL,31311,8577,6,10372.256925475762,1.209310589422381
DHL,31319,10967,2,10444.944225099138,0.9523975768304128
DHL,31319,10967,3,10702.841323327688,0.9759133147923487
DHL,31319,10967,4,11169.123856857705,1.0184301866378869
DHL,31319,10967,5,11643.281321998553,1.0616651155282715
DHL,31319,10967,6,12163.704459843359,1.1091186705428429
DHL,31515,19286,2,19415.95145273886,1.0067381236512942
DHL,31515,19286,3,19765.594879305783,1.0248675142230521
DHL,31515,19286,4,20064.107574643513,1.0403457209708344
DHL,31515,19286,5,20539.67003497932,1.0650041499004108
DHL,31515,19286,6,21134.872068684923,1.0958660203611388
DHL,31535,18533,2,19841.473983863165,1.0706023840642727
DHL,31535,18533,3,20539.02789559698,1.1082408620081465
DHL,31535,18533,4,21403.765267529823,1.1549001924960784
DHL,31535,18533,5,22354.74451588369,1.2062129453344677
DHL,31535,18533,6,23552.64033385361,1.2708487742866028
DHL,31832,11902,2,12075.813459876854,1.0146037186923924
DHL,31832,11902,3,12513.634538668288,1.0513892235479994
DHL,31832,11902,4,12879.476657775853,1.082127092738687
DHL,31832,11902,5,13530.129776474101,1.136794637579743
DHL,31832,11902,6,14184.516979025713,1.1917759182511942
Amazon,30159,9019,2,10079.34341768037,1.1175677367424737
Amazon,30159,9019,3,10292.301574935169,1.1411799063017152
Amazon,30159,9019,4,10691.541703717598,1.1854464689785562
Amazon,30159,9019,5,11111.151201081944,1.2319715268967673
Amazon,30159,9019,6,11543.448574652906,1.279903378939229
Amazon,30161,4512,2,5012.429669470662,1.1109108309997033
Amazon,30161,4512,3,5287.895954254642,1.171962755818848
Amazon,30161,4512,4,5600.113194376017,1.241159839179082
Amazon,30161,4512,5,5889.2287886797585,1.3052368769237053
Amazon,30161,4512,6,6203.097292659824,1.3747999318838262
Amazon,30163,4469,2,4931.034727771004,1.1033866027681818
Amazon,30163,4469,3,5022.41870706474,1.1238350206007475
Amazon,30163,4469,4,5283.733220717515,1.1823077244836686
Amazon,30163,4469,5,5586.363762243193,1.250025455861086
Amazon,30163,4469,6,5877.30725130856,1.315128049073296
Amazon,30165,3574,2,3996.074548939181,1.1180958446947904
Amazon,30165,3574,3,4283.046265274982,1.1983901133953503
Amazon,30165,3574,4,4358.731099102198,1.219566619782372
Amazon,30165,3574,5,4446.835514432081,1.24421810700394
Amazon,30165,3574,6,4741.540825363843,1.3266762242204375
Amazon,30167,5730,2,6172.690739341349,1.0772584187332197
Amazon,30167,5730,3,6496.508873601527,1.1337711821294114
Amazon,30167,5730,4,6609.965043486148,1.1535715608178267
Amazon,30167,5730,5,6738.221734627576,1.1759549275091754
Amazon,30167,5730,6,7063.285300132031,1.2326850436530594
Amazon,30173,3759,2,4334.220654708159,1.1530249147933382
Amazon,30173,3759,3,4412.7289093133295,1.173910324371729
Amazon,30173,3759,4,4482.292774161969,1.1924162740521331
Amazon,30173,3759,5,4801.639262703199,1.2773714452522478
Amazon,30173,3759,6,5099.420782285499,1.3565897265989622
Amazon,30177,2906,2,3349.74234678742,1.152698674049353
Amazon,30177,2906,3,3409.762136218528,1.1733524212727213
Amazon,30177,2906,4,3686.0610574857965,1.2684311966571908
Amazon,30177,2906,5,3980.597629672562,1.3697858326471308
Amazon,30177,2906,6,4292.321157663563,1.4770547686385282
Amazon,30179,2781,2,3319.273480498553,1.1935539304201916
Amazon,30179,2781,3,3385.707429630842,1.2174424414350384
Amazon,30179,2781,4,3708.514515272357,1.3335183442187548
Amazon,30179,2781,5,4034.954443030594,1.450900554847391
Amazon,30179,2781,6,4362.802160577875,1.5687889825882326
Amazon,30419,6859,2,7192.35470822183,1.048601065493779
Amazon,30419,6859,3,7660.245574687284,1.1168166751257156
Amazon,30419,6859,4,7877.684613099715,1.148517949132485
Amazon,30419,6859,5,8347.812778631882,1.2170597432033652
Amazon,30419,6859,6,8565.25181704431,1.2487610172101342
Amazon,30449,5275,2,6039.927910575891,1.1450100304409272
Amazon,30449,5275,3,6129.343612210721,1.1619608743527434
Amazon,30449,5275,4,6240.740549191275,1.1830787770978721
Amazon,30449,5275,5,6611.973204752588,1.2534546359720546
Amazon,30449,5275,6,6996.619516780837,1.3263733681101113
Amazon,30453,3593,2,4028.494879264942,1.1212064790606573
Amazon,30453,3593,3,4134.155922717084,1.1506139501021664
Amazon,30453,3593,4,4466.6024756742745,1.2431401268227873
Amazon,30453,3593,5,4598.302709390035,1.2797947980489937
Amazon,30453,3593,6,4930.749262347224,1.3723209747696143
Amazon,30455,3165,2,3839.3893424532766,1.2130772014070383
Amazon,30455,3165,3,3944.4041944946757,1.2462572494453952
Amazon,30455,3165,4,4072.764775807166,1.2868135152629276
Amazon,30455,3165,5,4415.188683037697,1.3950043232346594
Amazon,30455,3165,6,4776.808140775345,1.5092600760743586
Amazon,30457,3134,2,3683.7210428356934,1.1754055656782685
Amazon,30457,3134,3,3835.739480202572,1.2239117677736349
Amazon,30457,3134,4,4171.907310891548,1.3311765510183626
Amazon,30457,3134,5,4537.291528003586,1.4477637294204166
Amazon,30457,3134,6,4906.966045819828,1.5657198614613361
Amazon,30459,3087,2,3904.8592157698026,1.2649365778327835
Amazon,30459,3087,3,3780.537057992061,1.2246637700006675
Amazon,30459,3087,4,4112.865974420211,1.3323180999093656
Amazon,30459,3087,5,4457.566232751863,1.4439799911732631
Amazon,30459,3087,6,4803.053925208818,1.555896963138587
Amazon,30519,5508,2,6523.571228584351,1.1843811235628814
Amazon,30519,5508,3,6947.410214345988,1.2613308304912831
Amazon,30519,5508,4,7212.783333537532,1.3095104091389853
Amazon,30519,5508,5,7637.428545290667,1.3866064897041879
Amazon,30519,5508,6,8108.811515646093,1.4721880021143958
Amazon,30539,3516,2,4577.659938343697,1.301951063237684
Amazon,30539,3516,3,4774.860606442548,1.3580377151429317
Amazon,30539,3516,4,4950.251312417332,1.4079213061482743
Amazon,30539,3516,5,5380.899374678325,1.5304036901815488
Amazon,30539,3516,6,5560.961239433548,1.5816158246398033
Amazon,30559,5369,2,6709.365153527325,1.2496489390067655
