penalty,share_willing,consolidated_eur,conventional_eur,total_eur,baseline_eur,conventional_pct_of_total,saving_pct
0.0,0.8,1216492.1763923822,384387.95036350057,1600880.1267558828,1909747.749182716,24.01103892409776,16.17321568039624
0.25,0.8,1297519.4798996742,365676.669098522,1663196.1489981962,1909747.749182716,21.986382623527742,12.910165768753098
0.5,0.8,1350313.908893113,366378.68440445827,1716692.5932975714,1909747.749182716,21.342125307402092,10.108934856331855
0.75,0.8,1387857.772384168,366304.663514995,1754162.4358991631,1909747.749182716,20.88202643144798,8.14690386990304
1.0,0.8,1434251.93221826,370918.21295575326,1805170.1451740132,1909747.749182716,20.547548603513928,5.475990431378028
2.0,0.8,1517559.5777296715,377402.729779594,1894962.3075092654,1909747.749182716,19.91610747528015,0.7742091425308983
5.0,0.8,1534341.7900327984,375405.95914991456,1909747.749182713,1909747.749182716,19.65735837681032,1.584920505231979e-13
10.0,0.8,1534341.7900327984,375405.95914991456,1909747.749182713,1909747.749182716,19.65735837681032,1.584920505231979e-13
0.0,0.9,1347142.3010343642,212362.78067444844,1559505.0817088126,1909747.749182716,13.61731892798669,18.339734534248887
0.25,0.9,1439053.595342922,195672.00594864448,1634725.6012915666,1909747.749182716,11.969715638762102,14.400967248624651
0.5,0.9,1501764.204216535,193501.19992169784,1695265.4041382328,1909747.749182716,11.414212750956347,11.230925400292879
0.75,0.9,1559246.9303852564,191821.86634056212,1751068.7967258184,1909747.749182716,10.954559106942815,8.308895901294026
1.0,0.9,1604980.865287066,193827.69563358373,1798808.5609206497,1909747.749182716,10.775337623164337,5.809101663271665
2.0,0.9,1706248.6621097638,190668.99111979408,1896917.653229558,1909747.749182716,10.051516511282108,0.6718214988680464
5.0,0.9,1722081.202635225,187666.5465474896,1909747.7491827146,1909747.749182716,9.826771448103674,7.315017716455288e-14
10.0,0.9,1722081.202635225,187666.5465474896,1909747.7491827146,1909747.749182716,9.826771448103674,7.315017716455288e-14
0.0,1.0,1474147.7544344426,0.0,1474147.7544344426,1909747.749182716,0.0,22.809294836697156
0.25,1.0,1555417.1958170459,0.0,1555417.1958170459,1909747.749182716,0.0,18.5537882433587
0.5,1.0,1651607.4822529,0.0,1651607.4822529,1909747.749182716,0.0,13.51698238891959
0.75,1.0,1714467.2800550843,0.0,1714467.2800550843,1909747.749182716,0.0,10.225458792199273
1.0,1.0,1766013.6276212058,0.0,1766013.6276212058,1909747.749182716,0.0,7.52634067106621
2.0,1.0,1886240.3114065104,0.0,1886240.3114065104,1909747.749182716,0.0,1.2309184700579276
5.0,1.0,1909747.7491827144,0.0,1909747.7491827144,1909747.749182716,0.0,8.534187335864502e-14
10.0,1.0,1909747.7491827144,0.0,1909747.7491827144,1909747.749182716,0.0,8.534187335864502e-14
