threshold_pct,feature,raumtyp_3,label,n_samples,break_even_value,be_median_boot,be_ci95_lo,be_ci95_hi,min_feature,max_feature,median_feature
20.0,hub_dist_km,ALL,Distance to hub  [km],312,20.521533250149133,20.489419633107033,18.46185334168508,22.866723843108595,0.37,40.99,12.39
20.0,hub_dist_km,urban,Distance to hub  [km],46,,16.09656506287333,6.374700858485436,17.04614223152948,1.04,17.09,11.08
20.0,hub_dist_km,suburban,Distance to hub  [km],141,,21.21416463302087,9.319775935008243,25.757562449628953,1.29,30.8,10.86
20.0,hub_dist_km,rural,Distance to hub  [km],125,17.07501212824126,15.780065403349049,8.029426965107042,21.614003467945434,0.37,40.99,17.56
20.0,baseline_routes,ALL,Baseline routes per week,312,9.566614039334807,9.527261842471823,8.691264420146455,10.356696700598295,6.0,145.0,14.0
20.0,baseline_routes,urban,Baseline routes per week,46,10.743631357420558,10.403771868297742,8.97052154281162,10.96249930958866,6.0,57.0,13.5
20.0,baseline_routes,suburban,Baseline routes per week,141,,10.27195073783922,9.509859981837812,11.264145761411678,6.0,145.0,14.0
20.0,baseline_routes,rural,Baseline routes per week,125,24.476169067962772,14.197663418539529,6.215916472325102,27.33639606154238,6.0,88.0,14.0
20.0,parcels_per_route_baseline,ALL,Parcels per route (baseline),312,159.32279539537834,159.58881058167486,156.07423760954214,164.46104000516908,102.0,226.51724137931035,177.53361344537814
20.0,parcels_per_route_baseline,urban,Parcels per route (baseline),46,151.18520559495153,151.10096842322235,146.06890934474575,158.71282920645228,136.0,221.6315789473684,182.2403846153846
20.0,parcels_per_route_baseline,suburban,Parcels per route (baseline),141,153.20288966068136,153.21101439988706,146.66600414161297,158.00949981311004,102.0,226.51724137931035,177.71428571428572
20.0,parcels_per_route_baseline,rural,Parcels per route (baseline),125,175.09805412115486,174.6554473314933,165.33774663154963,184.36991279162217,103.0,221.67816091954023,175.83333333333334
20.0,b2c_share,ALL,B2C-share of parcels,312,,,,,0.7,0.7,0.7
20.0,b2c_share,urban,B2C-share of parcels,46,,,,,0.7,0.7,0.7
20.0,b2c_share,suburban,B2C-share of parcels,141,,,,,0.7,0.7,0.7
20.0,b2c_share,rural,B2C-share of parcels,125,,,,,0.7,0.7,0.7
