penalty_eur_per_day,provider,plz,schedule_size,base_cost_eur,wait_days_avg,weekly_parcels,penalty_cost_eur,combined_cost_eur
0.0,Hermes,30419,4,4983.990632300674,0.5267739382748615,3791,0.0,4983.990632300674
0.0,Hermes,30449,4,3984.3406586594624,0.3481104651162791,2752,0.0,3984.3406586594624
0.0,Hermes,30453,3,3282.802283265416,0.5522620904836193,1923,0.0,3282.802283265416
0.0,Hermes,30455,3,3133.764204928581,0.7077444884115319,1769,0.0,3133.764204928581
0.0,Hermes,30457,3,3169.3595409067657,0.7264260768335273,1718,0.0,3169.3595409067657
0.0,Hermes,30459,3,3124.520631145985,0.6920838183934808,1718,0.0,3124.520631145985
0.0,Hermes,30519,3,4770.450569928821,0.5821917808219178,2920,0.0,4770.450569928821
0.0,Hermes,30539,4,3462.0981808239067,0.33965330444203684,1846,0.0,3462.0981808239067
0.0,Hermes,30559,2,4947.141846348782,0.9477459016393442,2928,0.0,4947.141846348782
0.0,Hermes,30625,3,3026.707336831866,0.704822777454968,1721,0.0,3026.707336831866
0.0,Hermes,30627,6,1800.235438802243,0.0,1110,0.0,1800.235438802243
0.0,Hermes,30629,2,2984.551443459905,0.930699481865285,1544,0.0,2984.551443459905
0.0,Hermes,30655,3,3226.4654068952577,0.5580221997981837,1982,0.0,3226.4654068952577
0.0,Hermes,30657,4,3046.4680466734335,0.3391494002181025,1834,0.0,3046.4680466734335
0.0,Hermes,30659,2,2983.967933705115,0.9338374291115312,1587,0.0,2983.967933705115
0.0,Hermes,30823,4,3766.9128772578065,0.3213087248322148,2384,0.0,3766.9128772578065
0.0,Hermes,30826,4,3885.139913860317,0.40166975881261596,2156,0.0,3885.139913860317
0.0,Hermes,30827,4,2994.780521407527,0.33351206434316355,1865,0.0,2994.780521407527
0.0,Hermes,30851,3,2671.0931035454755,0.6636363636363637,1650,0.0,2671.0931035454755
0.0,Hermes,30853,4,2442.7132990804093,0.5389302640487474,1477,0.0,2442.7132990804093
