provider,cluster_id,raumtyp_3,raumtyp_8,raumtyp_8_name,baseline_routes,baseline_distance_km,baseline_parcels,baseline_cost_eur,saml_routes,saml_distance_km,saml_parcels,saml_cost_eur,fixed_routes,fixed_distance_km,fixed_parcels,fixed_cost_eur,actual_saving_abs,avg_demand,area_km2,hub_dist_km,actual_saving_pct,actual_fixed_saving_pct,routes_delta_pct,distance_delta_pct,weekly_parcels,demand_per_area,parcels_per_route_baseline,parcels_per_route_saml,baseline_eur_per_parcel,saml_eur_per_parcel,fixed_eur_per_parcel,baseline_eur_per_km,b2c_share
DPD,31275,suburban,6,Umland Verstädtert,19,1026.79,3643,6194.77,18,539.86,3643,4642.71,17,538.45,3643,4454.93,1552.0600000000004,607.1666666666666,129.47251256919432,4.47,25.054360371732933,28.085627069285863,-5.2631578947368425,-47.42254988848742,3643,28.137246491243168,191.73684210526315,202.38888888888889,1.7004584133955531,1.2744194345319793,1.2228740049409828,6.033142122537228,0.7
DPD,31303,rural,8,Umland dörflich ohne gewerblichen Einfluss,14,909.14,2491,4863.44,13,535.36,2491,3630.2,13,524.29,2491,3610.63,1233.2399999999998,415.1666666666667,112.90680951768702,10.77,25.35736022239402,25.759750300199027,-7.142857142857143,-41.113579866687196,2491,22.062442563393674,177.92857142857142,191.6153846153846,1.9524046567643516,1.4573263749498193,1.4494700923323967,5.349495127263127,0.7
DPD,31311,rural,7,Umland dörflich mit geringem gewerblichem Einfluss,12,1047.34,1650,4497.96,8,604.77,1650,2682.99,8,607.1,1650,2688.39,1814.9700000000005,275.0,139.34872865781722,17.19,40.35095910145933,40.230904676786814,-33.333333333333336,-42.256573796474875,1650,11.84079694082977,137.5,206.25,2.726036363636364,1.6260545454545454,1.6293272727272727,4.294651211640919,0.7
DPD,31319,rural,8,Umland dörflich ohne gewerblichen Einfluss,12,785.81,2115,4109.72,12,458.15,2115,3238.84,12,458.15,2115,3238.84,870.8800000000001,352.5,101.18549289373648,7.08,21.19073805514731,21.19073805514731,0.0,-41.697102352986086,2115,20.902205835189655,176.25,176.25,1.9431300236406621,1.5313664302600474,1.5313664302600474,5.229915628459806,0.7
DPD,31515,rural,7,Umland dörflich mit geringem gewerblichem Einfluss,20,2387.83,3812,7760.66,19,1870.31,3812,6098.72,19,1872.78,3812,6111.34,1661.9399999999996,635.3333333333334,125.1818077488354,38.45,21.414931204304786,21.252316168985626,-5.0,-21.673234694262156,3812,30.451709146495084,190.6,200.6315789473684,2.035849947534103,1.5998740818467996,1.6031846799580274,3.250088992935008,0.7
DPD,31535,rural,7,Umland dörflich mit geringem gewerblichem Einfluss,23,3446.01,3582,10211.27,18,2147.74,3582,6675.98,17,2061.44,3582,6388.22,3535.290000000001,597.0,357.6158854957556,38.17,34.62145257152147,37.43951535901019,-21.73913043478261,-37.674585970441186,3582,10.01633357263855,155.7391304347826,199.0,2.85071747627024,1.863757677275265,1.7834226689000559,2.9632154288583026,0.7
DPD,31832,rural,7,Umland dörflich mit geringem gewerblichem Einfluss,16,1955.6,2309,6536.42,12,1265.18,2309,4325.08,12,1259.09,2309,4316.74,2211.34,384.8333333333333,159.3824695169613,30.86,33.8310573677946,33.95865014794031,-25.0,-35.30476580077725,2309,14.487164159257045,144.3125,192.41666666666666,2.830844521437852,1.8731398873971417,1.8695279341706366,3.3424115361014524,0.7
FedEx,30159,urban,2,Zentrumsnah hochverdichtete Wohnnutzung,32,980.38,6411,8128.94,30,865.23,6411,7442.7,30,863.76,6411,7434.38,686.2399999999998,1644.0,1.955539120782912,10.52,8.441937079127165,8.544287447071813,-6.25,-11.745445643525978,6411,3278.3798247070185,200.34375,213.7,1.2679675557635313,1.1609265325222273,1.1596287630634847,8.291621616108038,0.7
FedEx,30161,urban,2,Zentrumsnah hochverdichtete Wohnnutzung,20,582.0,3810,5031.11,18,484.54,3810,4384.04,19,509.99,3810,4625.26,647.0699999999997,635.0,1.7979843382791898,9.67,12.861376515321664,8.066808318641401,-10.0,-16.74570446735395,3810,2119.0395927733525,190.5,211.66666666666666,1.320501312335958,1.1506666666666667,1.213979002624672,8.644518900343643,0.7
FedEx,30163,suburban,5,Städtisch mit gewerblicher Prägung,12,342.58,2113,3026.95,11,280.12,2113,2656.64,11,280.35,2113,2657.09,370.31,1035.0,2.603733329707664,8.4,12.2337666628124,12.218900213085771,-8.333333333333334,-18.23223772549477,2113,811.527039229182,176.08333333333334,192.0909090909091,1.4325366777094177,1.2572834831992428,1.2574964505442499,8.835746395002626,0.7
FedEx,30167,urban,3,Zentrumsnah verdichtete Mischnutzung,13,463.04,2400,3508.57,12,360.7,2400,3029.16,13,385.92,2400,3260.39,479.4100000000003,629.1666666666666,4.343746915001259,8.75,13.663971361551864,7.07353708205908,-7.6923076923076925,-22.10176226675882,2400,552.5183780186476,184.6153846153846,200.0,1.4619041666666668,1.2621499999999999,1.3584958333333332,7.5772503455425015,0.7
FedEx,30419,suburban,5,Städtisch mit gewerblicher Prägung,11,503.44,1709,3180.93,9,371.2,1709,2458.73,10,351.53,1709,2579.85,722.1999999999998,284.8333333333333,23.77191867081394,5.53,22.704051959647018,18.896360498344823,-18.181818181818183,-26.267281105990783,1709,71.89154664651579,155.36363636363637,189.88888888888889,1.861281451141018,1.4386951433586892,1.5095669982445874,6.31838948037502,0.7
FedEx,30449,urban,3,Zentrumsnah verdichtete Mischnutzung,11,585.24,1576,3070.94,9,430.17,1576,2379.89,9,430.17,1576,2379.89,691.0500000000002,617.1666666666666,2.190643461651216,11.29,22.50288185376465,22.50288185376465,-18.181818181818183,-26.496821816690588,1576,719.4233235982987,143.27272727272728,175.11111111111111,1.9485659898477157,1.5100824873096446,1.5100824873096446,5.247317339894744,0.7
FedEx,30453,suburban,4,Städtisch mit Verdichtungsansätzen,11,642.98,1516,3324.68,8,410.26,1516,2229.35,8,410.26,1516,2229.35,1095.33,252.66666666666663,9.157258958740025,10.07,32.94542632674423,32.94542632674423,-27.272727272727273,-36.19397181871909,1516,165.55172315543984,137.8181818181818,189.5,2.193060686015831,1.470547493403694,1.470547493403694,5.170736259292668,0.7
FedEx,30455,suburban,4,Städtisch mit Verdichtungsansätzen,6,374.08,612,1884.68,4,230.57,612,1202.62,4,230.57,612,1202.62,682.0600000000002,102.0,6.967819653017212,11.34,36.18969798586498,36.18969798586498,-33.333333333333336,-38.36345166809239,612,87.8323536595829,102.0,153.0,3.0795424836601306,1.965065359477124,1.965065359477124,5.038173652694611,0.7
FedEx,30457,suburban,4,Städtisch mit Verdichtungsansätzen,6,420.75,778,1943.16,5,308.38,778,1479.78,5,308.38,778,1479.78,463.3800000000001,129.66666666666666,6.068989648841514,14.63,23.84672389304021,23.84672389304021,-16.666666666666668,-26.707070707070706,778,128.19267209468867,129.66666666666666,155.6,2.497634961439589,1.902030848329049,1.902030848329049,4.618324420677362,0.7
FedEx,30519,urban,3,Zentrumsnah verdichtete Mischnutzung,13,932.1,2369,4086.21,14,903.51,2369,4099.35,11,705.01,2369,3203.41,-13.140000000000327,395.3333333333333,12.113461405690837,15.32,-0.32156937602326674,21.604371777270384,7.6923076923076925,-3.067267460572903,2369,195.5675525483622,182.23076923076923,169.21428571428572,1.7248670325031659,1.7304136766568174,1.3522203461376108,4.383875120695205,0.7
FedEx,30539,rural,7,Umland dörflich mit geringem gewerblichem Einfluss,13,982.97,2429,3965.58,13,913.89,2429,3804.49,13,889.47,2429,3724.28,161.09000000000017,404.8333333333333,19.21423828970633,18.41,4.062205276403455,6.084860222212129,0.0,-7.027681414488747,2429,126.41666889815203,186.84615384615384,186.84615384615384,1.6325977768629065,1.566278303828736,1.533256484149856,4.034283854034202,0.7
FedEx,30559,suburban,4,Städtisch mit Verdichtungsansätzen,21,1274.1100000000001,3537,6228.53,20,1056.31,3537,5437.99,20,1056.31,3537,5437.99,790.5399999999995,897.6666666666667,23.947422635264765,14.959634871133613,12.692240384167693,12.692240384167693,-4.761904761904762,-17.094285422765708,3537,147.69856672556674,168.42857142857142,176.85,1.7609640938648572,1.537458297992649,1.537458297992649,4.8885339570366755,0.7
FedEx,30625,suburban,4,Städtisch mit Verdichtungsansätzen,8,464.82,1206,2328.94,7,365.99,1206,1901.99,7,364.94,1206,1903.57,426.9500000000001,371.5,8.86389555258122,12.59,18.33237438491331,18.26453236236228,-12.5,-21.261993890107995,1206,136.05755988954604,150.75,172.28571428571428,1.9311276948590381,1.577106135986733,1.5784162520729685,5.010412632847124,0.7
FedEx,30657,rural,8,Umland dörflich ohne gewerblichen Einfluss,17,503.17,3429,4306.57,17,471.35,3429,4201.94,17,436.79,3429,4088.98,104.63000000000012,571.5,12.670949194485749,8.22,2.4295436971882522,5.052512788599738,0.0,-6.323906433213425,3429,270.6190315633387,201.7058823529412,201.7058823529412,1.255925925925926,1.2254126567512393,1.1924701079031788,8.558876721585149,0.7
FedEx,30823,suburban,4,Städtisch mit Verdichtungsansätzen,6,358.21,878,1895.1,5,231.19,878,1393.53,5,231.19,878,1393.53,501.57,146.33333333333334,12.528872220645557,8.07,26.466677220199458,26.466677220199458,-16.666666666666668,-35.45964657603081,878,70.07813508970088,146.33333333333334,175.6,2.1584282460136675,1.5871640091116173,1.5871640091116173,5.290472069456464,0.7
FedEx,30827,rural,7,Umland dörflich mit geringem gewerblichem Einfluss,11,463.36,1853,3003.1,10,353.85,1853,2519.43,10,359.06,1853,2523.77,483.6700000000001,459.5,10.610683695060027,4.72,16.10569078618761,15.96117345409743,-9.090909090909092,-23.633891574585636,1853,174.63530656961282,168.45454545454547,185.3,1.6206691851052346,1.359649217485159,1.3619913653534808,6.481137776243093,0.7
FedEx,30853,suburban,6,Umland Verstädtert,12,278.47,2120,3070.65,11,183.24,2120,2565.21,11,183.24,2120,2565.21,505.44000000000005,504.8333333333333,8.711379660258004,4.85,16.46035855600606,16.46035855600606,-8.333333333333334,-34.19757963155816,2120,243.35984455729854,176.66666666666666,192.72727272727272,1.4484198113207547,1.210004716981132,1.210004716981132,11.026861062232914,0.7
FedEx,30855,suburban,4,Städtisch mit Verdichtungsansätzen,46,1046.82,9966,11162.03,45,799.33,9966,10263.12,45,791.93,9966,10243.86,898.9099999999999,1661.6666666666667,58.08159729436245,1.52,8.053284214430528,8.225833472943542,-2.1739130434782608,-23.64207791215299,9966,171.58619019190309,216.65217391304347,221.46666666666667,1.1200110375275938,1.0298133654425046,1.0278807947019868,10.66279780669074,0.7
FedEx,30880,suburban,6,Umland Verstädtert,17,1501.46,3498,5647.21,17,1315.07,3498,5098.46,17,1323.81,3498,5091.83,548.75,583.0,33.96099660372796,22.05,9.717187779452154,9.834590886473146,0.0,-12.413917120669222,3498,103.00051087476089,205.76470588235293,205.76470588235293,1.6144110920526016,1.457535734705546,1.4556403659233847,3.7611458180704114,0.7
FedEx,30890,rural,8,Umland dörflich ohne gewerblichen Einfluss,8,937.98,1281,3095.95,8,699.5,1281,2539.96,7,640.78,1281,2277.03,555.9899999999998,213.5,102.53407734275534,20.22,17.9586233627804,26.451331578352352,0.0,-25.424849143904986,1281,12.493407393893232,160.125,160.125,2.416822794691647,1.9827946916471506,1.7775409836065574,3.300656730420691,0.7
FedEx,30900,rural,7,Umland dörflich mit geringem gewerblichem Einfluss,12,969.32,1597,4274.56,8,473.08,1597,2470.48,9,481.11,1597,2664.6,1804.0800000000004,266.1666666666667,173.55971997363926,10.92,42.205045665518796,37.66375954484205,-33.333333333333336,-51.19465192093427,1597,9.201443746524578,133.08333333333334,199.625,2.6766186599874766,1.5469505322479649,1.66850344395742,4.409854330871126,0.7
FedEx,30916,suburban,6,Umland Verstädtert,17,844.04,3245,5173.86,16,678.21,3245,4348.03,16,678.21,3245,4348.03,825.8299999999999,540.8333333333334,59.876286869182046,11.65,15.961583807833998,15.961583807833998,-5.882352941176471,-19.64717311975735,3245,54.195077378289824,190.88235294117646,202.8125,1.5944098613251154,1.3399167950693374,1.3399167950693374,6.129875361357281,0.7
FedEx,30926,rural,8,Umland dörflich ohne gewerblichen Einfluss,8,649.9300000000001,1266,2778.12,7,410.95,1266,2064.49,8,468.19,1266,2316.27,713.6300000000001,211.0,53.8021301528445,10.98,25.68751529811528,16.624551855211436,-12.5,-36.770113704552806,1266,23.5306668416932,158.25,180.85714285714286,2.1944075829383887,1.6307187993680883,1.8295971563981042,4.274491099041435,0.7
FedEx,30938,rural,7,Umland dörflich mit geringem gewerblichem Einfluss,17,1285.81,3131,5341.55,15,1007.76,3131,4338.42,16,997.28,3131,4427.74,1003.13,521.8333333333334,153.22446344831192,16.47,18.779754940045496,17.107581132817263,-11.764705882352942,-21.6245012871264,3131,20.434073838713086,184.1764705882353,208.73333333333332,1.706020440753753,1.3856339827531141,1.414161609709358,4.154229629572021,0.7
