window,share_willing,provider,plz,weekly_parcels,schedule_size_batched,schedule_idx,schedule_weekdays,cost_eur_batched,avg_wait_d_batched
1,1.0,DPD,30974,1280,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",4388.826835326926,0.0
1,1.0,DPD,30982,1278,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",4250.733696296179,0.0
1,1.0,DPD,30989,1356,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",4486.729816748647,0.0
1,1.0,DPD,31275,3643,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",6537.532102645645,0.0
1,1.0,DPD,31303,2491,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",5611.108220047006,0.0
1,1.0,DPD,31311,1650,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",4985.377007302419,0.0
1,1.0,DPD,31319,2115,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",4810.475023723515,0.0
1,1.0,DPD,31515,3812,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",9566.95938667835,0.0
1,1.0,DPD,31535,3582,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",10580.935124252459,0.0
1,1.0,DPD,31832,2309,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",7223.2288156604245,0.0
1,1.0,FedEx,30159,9864,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",12375.760675349033,0.0
1,1.0,FedEx,30161,3810,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",5225.942974538565,0.0
1,1.0,FedEx,30163,6210,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",8563.27019496855,0.0
1,1.0,FedEx,30167,3775,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",5371.777098628981,0.0
1,1.0,FedEx,30419,1709,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",3722.3148279888073,0.0
1,1.0,FedEx,30449,3703,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",5825.2219293490925,0.0
1,1.0,FedEx,30453,1516,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",3400.525711183141,0.0
1,1.0,FedEx,30455,612,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",2085.115703650473,0.0
1,1.0,FedEx,30457,778,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",2103.501993805695,0.0
1,1.0,FedEx,30519,2372,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",4450.562005417546,0.0
1,1.0,FedEx,30539,2429,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",4160.492389501804,0.0
1,1.0,FedEx,30559,3144,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",5505.574168390972,0.0
1,1.0,FedEx,30625,2229,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",4121.450182682923,0.0
1,1.0,FedEx,30655,2242,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",4070.8953106122017,0.0
1,1.0,FedEx,30657,3429,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",4684.585010528717,0.0
1,1.0,FedEx,30823,878,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",2417.49472238208,0.0
1,1.0,FedEx,30827,2757,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",4582.078627389061,0.0
1,1.0,FedEx,30853,3029,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",4920.2868196678955,0.0
1,1.0,FedEx,30855,9970,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",11175.280244194257,0.0
1,1.0,FedEx,30880,3498,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",5900.623938394634,0.0
1,1.0,FedEx,30890,1281,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",4024.208117475864,0.0
1,1.0,FedEx,30900,1597,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",4585.523830691451,0.0
1,1.0,FedEx,30916,3245,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",5592.996650029133,0.0
1,1.0,FedEx,30926,1266,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",3561.9530362081255,0.0
1,1.0,FedEx,30938,3131,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",5666.357586739744,0.0
1,1.0,FedEx,30952,979,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",2940.2668810358855,0.0
1,1.0,FedEx,30966,1063,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",2661.540167193591,0.0
1,1.0,FedEx,30974,802,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",2390.355118023251,0.0
1,1.0,FedEx,30982,618,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",2643.317429154473,0.0
1,1.0,FedEx,30989,876,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",2804.0544205033216,0.0
1,1.0,FedEx,31275,2133,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",5278.456374971766,0.0
1,1.0,FedEx,31303,1243,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",4428.497708429647,0.0
1,1.0,FedEx,31311,675,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",3413.42590462698,0.0
1,1.0,FedEx,31319,751,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",2957.9563600726406,0.0
1,1.0,FedEx,31515,2478,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",5686.634709694739,0.0
1,1.0,FedEx,31535,2005,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",6849.578819129083,0.0
1,1.0,FedEx,31832,1068,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",4482.110462917624,0.0
1,1.0,GLS,30159,3332,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",5213.227825713534,0.0
1,1.0,GLS,30161,1649,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",3008.2819206900363,0.0
1,1.0,GLS,30163,2801,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",4925.442074124043,0.0
1,1.0,GLS,30165,1358,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",2414.8291333517627,0.0
1,1.0,GLS,30167,2147,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",3803.577231409414,0.0
1,1.0,GLS,30173,1424,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",2499.0025753097048,0.0
1,1.0,GLS,30179,1034,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",2116.8755030006573,0.0
1,1.0,GLS,30419,2617,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",5509.107912212873,0.0
1,1.0,GLS,30449,1981,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",3723.5683250534903,0.0
1,1.0,GLS,30453,1373,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",3401.1934035101067,0.0
1,1.0,GLS,30455,1201,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",3212.7983223706733,0.0
1,1.0,GLS,30457,1189,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",2788.8743164086172,0.0
1,1.0,GLS,30459,1169,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",2359.4857963935265,0.0
1,1.0,GLS,30519,2084,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",4256.669057579964,0.0
1,1.0,GLS,30539,1310,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",3222.23118210628,0.0
1,1.0,GLS,30559,2040,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",4196.471836014566,0.0
1,1.0,GLS,30625,1185,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",2469.68099576843,0.0
1,1.0,GLS,30627,774,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",1832.6044895965854,0.0
1,1.0,GLS,30629,1080,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",2521.3213548487447,0.0
1,1.0,GLS,30655,1383,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",3295.1445569974253,0.0
1,1.0,GLS,30657,1325,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",3229.795569430606,0.0
1,1.0,GLS,30659,1138,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",2774.7244379649387,0.0
1,1.0,GLS,30823,1687,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",4437.797840215523,0.0
1,1.0,GLS,30826,1480,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",4794.09291362508,0.0
1,1.0,GLS,30827,1331,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",3657.679713173023,0.0
1,1.0,GLS,30851,1137,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",2161.100405492553,0.0
1,1.0,GLS,30853,1083,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",2526.6692759264506,0.0
1,1.0,GLS,30855,5111,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",8085.6842264097195,0.0
1,1.0,GLS,30880,2630,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",5088.324762174574,0.0
1,1.0,GLS,30890,2471,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",6980.550023027408,0.0
1,1.0,GLS,30900,2487,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",7700.6730706204835,0.0
1,1.0,GLS,30916,2276,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",5169.405990724105,0.0
1,1.0,GLS,30926,2421,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",6130.948108293477,0.0
1,1.0,GLS,30938,1873,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",6156.191004335115,0.0
1,1.0,GLS,30952,1710,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",4431.7085442293865,0.0
1,1.0,GLS,30966,1619,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",4130.195022306128,0.0
1,1.0,GLS,30974,1120,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",3776.7435573925763,0.0
1,1.0,GLS,30982,1154,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",3541.2702930165233,0.0
1,1.0,GLS,30989,1172,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",3963.4163394668817,0.0
1,1.0,GLS,31275,3227,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",7531.948338018157,0.0
1,1.0,GLS,31303,2208,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",6422.899323988629,0.0
1,1.0,GLS,31311,1483,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",6072.361966602803,0.0
1,1.0,GLS,31319,1985,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",4931.711361470649,0.0
1,1.0,GLS,31515,3284,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",8846.02811532956,0.0
1,1.0,GLS,31535,3227,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",10711.165035319756,0.0
1,1.0,GLS,31832,2069,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",5890.7700210473495,0.0
1,1.0,Hermes,30159,4412,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",6369.748425048697,0.0
1,1.0,Hermes,30161,2187,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",3203.0197980063936,0.0
1,1.0,Hermes,30163,2318,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",3163.779552344621,0.0
1,1.0,Hermes,30165,1888,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",3103.461454908783,0.0
1,1.0,Hermes,30167,2918,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",4518.6442471156815,0.0
1,1.0,Hermes,30173,1982,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",3407.5245996804615,0.0
1,1.0,Hermes,30177,1604,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",2963.9110393319334,0.0
1,1.0,Hermes,30179,1492,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",3015.7823427921257,0.0
