penalty,share_willing,provider,n_plz,init_cost_eur,balanced_cost_eur,cost_delta_eur,cost_delta_pct,imbalance_before,imbalance_after,imbalance_reduction_pct,max_fleet_before,max_fleet_after,total_routes_before,total_routes_after,swaps_made
0.25,0.0,Hermes,47,232267.79568581068,232267.79568581068,0.0,0.0,44.0,44.0,0.0,127.0,127.0,681.0,681.0,0
0.25,0.0,UPS,40,198052.50289517397,198052.50289517397,0.0,0.0,40.0,40.0,0.0,118.0,118.0,613.0,613.0,0
0.25,0.1,DHL,48,552975.2944637169,556120.5871501958,3145.2926864789333,0.5687944322231036,176.0,167.0,5.113636363636363,122.0,117.0,2364.0,2368.0,6
0.25,0.1,Amazon,47,329685.93787356006,331405.077382675,1719.1395091149607,0.5214476298877748,78.0,76.0,2.5641025641025643,216.0,216.0,1125.0,1127.0,2
0.25,0.1,DPD,47,180191.41867040202,184563.20875537294,4371.790084970911,2.4261921667688244,42.0,24.0,42.857142857142854,112.0,109.0,565.0,582.0,18
0.25,0.1,FedEx,37,140697.32036167258,144315.1500438599,3617.8296821873228,2.57135649270891,25.0,9.0,64.0,96.0,89.0,499.0,506.0,10
0.25,0.1,GLS,46,160503.55811999243,163753.3325246298,3249.77440463737,2.0247366741912596,30.0,21.0,30.0,94.0,92.0,482.0,489.0,9
0.25,0.1,Hermes,47,206371.17718819558,208457.7007636066,2086.5235754110327,1.011053774000753,45.0,41.0,8.88888888888889,126.0,126.0,676.0,681.0,4
0.25,0.1,UPS,40,169442.9698735619,174070.26234149665,4627.292467934749,2.73088489383043,39.0,12.0,69.23076923076923,116.0,107.0,601.0,607.0,15
0.25,0.2,DHL,48,552161.2042078272,556280.3234645244,4119.1192566971295,0.7459993975141251,181.0,161.0,11.049723756906078,117.0,114.0,2361.0,2367.0,9
0.25,0.2,Amazon,47,328207.54394728865,333938.0761696005,5730.532222311827,1.7460086850508751,78.0,63.0,19.23076923076923,216.0,210.0,1110.0,1120.0,13
0.25,0.2,DPD,47,178737.93150048552,184063.45092110953,5325.519420624012,2.979512729008809,33.0,12.0,63.63636363636363,105.0,101.0,554.0,564.0,20
0.25,0.2,FedEx,37,141432.14654084572,144032.39881536702,2600.2522745213064,1.838515739256175,21.0,4.0,80.95238095238095,94.0,88.0,516.0,521.0,10
0.25,0.2,GLS,46,158824.13574688014,162461.9504551571,3637.814708276943,2.2904671831959913,29.0,14.0,51.724137931034484,92.0,88.0,476.0,485.0,14
0.25,0.2,Hermes,47,204361.32866829538,209157.66208786337,4796.333419567993,2.3469868055873997,43.0,26.0,39.53488372093023,125.0,123.0,664.0,679.0,16
0.25,0.2,UPS,40,164443.09652635254,166829.16496076147,2386.068434408924,1.4509994550160692,19.0,1.0,94.73684210526316,113.0,103.0,610.0,616.0,11
0.25,0.3,DHL,48,553625.0737259815,556955.4762427063,3330.4025167247746,0.601562803922636,189.0,146.0,22.75132275132275,121.0,113.0,2367.0,2376.0,16
0.25,0.3,Amazon,47,325959.94497190503,338861.1955490387,12901.250577133673,3.9579251304161467,77.0,41.0,46.753246753246756,212.0,206.0,1101.0,1124.0,26
0.25,0.3,DPD,47,174991.14637103476,179651.44324322545,4660.296872190695,2.6631615192173435,27.0,8.0,70.37037037037037,100.0,97.0,544.0,556.0,16
0.25,0.3,FedEx,37,137278.56504689564,139297.4514709526,2018.8864240569528,1.470649422484335,24.0,2.0,91.66666666666667,97.0,89.0,520.0,526.0,11
0.25,0.3,GLS,46,156782.84207736747,160325.62930136433,3542.7872239968565,2.2596778939934006,28.0,11.0,60.714285714285715,88.0,87.0,474.0,484.0,15
0.25,0.3,Hermes,47,201661.50787152353,208817.64551300087,7156.13764147734,3.5485887797865927,46.0,21.0,54.34782608695652,125.0,122.0,654.0,672.0,25
0.25,0.3,UPS,40,162550.31592812584,165610.2511815716,3059.9352534457576,1.8824542025490467,58.0,2.0,96.55172413793103,130.0,104.0,613.0,618.0,13
0.25,0.4,DHL,48,553386.5452698888,556511.8565273018,3125.3112574130064,0.5647609765952621,199.0,154.0,22.613065326633166,124.0,111.0,2361.0,2369.0,13
0.25,0.4,Amazon,47,324921.54957359005,335140.91018563416,10219.36061204411,3.1451778515323046,69.0,32.0,53.6231884057971,209.0,200.0,1092.0,1115.0,23
0.25,0.4,DPD,47,172207.26295826345,175853.80806098465,3646.5451027211966,2.1175326987253618,34.0,10.0,70.58823529411765,103.0,98.0,546.0,560.0,16
0.25,0.4,FedEx,37,135177.15926947232,136887.22038105904,1710.0611115867214,1.2650518185381872,23.0,5.0,78.26086956521739,101.0,91.0,527.0,532.0,4
0.25,0.4,GLS,46,154293.1693583846,157655.48108896305,3362.3117305784544,2.1791708243212256,24.0,7.0,70.83333333333333,92.0,85.0,482.0,489.0,10
0.25,0.4,Hermes,47,198613.68992050987,203960.76249171403,5347.07257120416,2.692197387473236,36.0,16.0,55.55555555555556,117.0,116.0,626.0,644.0,15
0.25,0.4,UPS,40,162148.35165172216,166419.53134749443,4271.179695772269,2.6341184799376314,60.0,1.0,98.33333333333333,142.0,105.0,617.0,627.0,19
0.25,0.5,DHL,48,558275.0062135027,560263.5780327225,1988.5718192197382,0.356199327766295,213.0,151.0,29.107981220657276,137.0,113.0,2372.0,2374.0,10
0.25,0.5,Amazon,47,324208.6844420838,336321.5222034829,12112.837761399103,3.7361237815833164,78.0,11.0,85.8974358974359,207.0,193.0,1097.0,1126.0,36
0.25,0.5,DPD,47,169456.73351127462,173788.49237496473,4331.7588636901055,2.556262459409379,38.0,7.0,81.57894736842105,109.0,98.0,555.0,566.0,19
0.25,0.5,FedEx,37,134379.1476032757,135573.01924338768,1193.871640111989,0.88843519355892,28.0,3.0,89.28571428571429,100.0,91.0,533.0,536.0,8
0.25,0.5,GLS,46,150192.96753318424,153926.18907773815,3733.221544553904,2.4856167408298067,25.0,4.0,84.0,90.0,84.0,481.0,492.0,14
0.25,0.5,Hermes,47,196001.3188773041,201492.75291385438,5491.434036550287,2.8017332066973992,48.0,11.0,77.08333333333333,123.0,113.0,634.0,650.0,24
0.25,0.5,UPS,40,161656.8839968363,163615.98349604264,1959.0994992063497,1.2118874561782909,33.0,6.0,81.81818181818181,122.0,107.0,619.0,626.0,11
0.25,0.6,DHL,48,558912.3201050544,559837.829400829,925.5092957746238,0.1655911423818074,191.0,172.0,9.947643979057592,127.0,115.0,2372.0,2375.0,6
0.25,0.6,Amazon,47,320154.45407758286,329005.0751656853,8850.62108810246,2.7644847589587784,77.0,2.0,97.40259740259741,216.0,188.0,1101.0,1121.0,29
