penalty,share_willing,provider,plz,weekly_parcels,schedule_idx_init,schedule_idx_balanced,schedule_size_init,schedule_size_balanced,weekdays_init,weekdays_balanced,avg_wait_d_init,avg_wait_d_balanced,dd_cost_init,dd_cost_balanced,veh_init,veh_balanced
0.0,0.0,Amazon,31303,5793,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,10291.231205914351,10291.231205914351,28.0,28.0
0.0,0.0,Amazon,31311,3965,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,8790.113460938559,8790.113460938559,20.0,20.0
0.0,0.0,Amazon,31319,5228,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,9320.815628099372,9320.815628099372,25.0,25.0
0.0,0.0,Amazon,31515,8733,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,12450.58174407703,12450.58174407703,40.0,40.0
0.0,0.0,Amazon,31535,8625,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,15851.91067139521,15851.91067139521,40.0,40.0
0.0,0.0,Amazon,31832,5466,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,11355.500473785536,11355.500473785536,27.0,27.0
0.0,0.0,DPD,30159,4783,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,6656.069904499083,6656.069904499083,24.0,24.0
0.0,0.0,DPD,30161,2359,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,3438.6384541878197,3438.6384541878197,13.0,13.0
0.0,0.0,DPD,30163,2106,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,3176.704105051865,3176.704105051865,12.0,12.0
0.0,0.0,DPD,30165,1757,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,3109.5847921201566,3109.5847921201566,11.0,11.0
0.0,0.0,DPD,30167,2824,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,4548.61275587726,4548.61275587726,16.0,16.0
0.0,0.0,DPD,30173,1708,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,3042.0725720869623,3042.0725720869623,11.0,11.0
0.0,0.0,DPD,30177,1250,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,2301.8161532682093,2301.8161532682093,8.0,8.0
0.0,0.0,DPD,30179,1256,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,2402.9493976963904,2402.9493976963904,8.0,8.0
