provider,plz,base_day,agg_k,scale,p_keep,noise_sigma,b2c_scale,b2b_scale,seed,is_baseline,actual_cost_eur,actual_distance_km,actual_duration_h,actual_n_routes,n_vehicles_planned,solve_time_s,vroom_status,n_parcels,n_stops,area_km2,hub_dist_km,parcels_per_stop,load_factor,min_vehicles,parcels_per_km2,ch_area_km2,ch_perimeter_km,mean_nn_dist_km,mean_inter_stop_dist_km,stop_density_ch,centroid_hub_dist_km,max_hub_dist_km,coord_std_x,coord_std_y,aspect_ratio,b2c_share,demand_std,max_stop_demand,demand_cap_ratio,provider_idx,day_idx,delivery_frequency,n_merged_members,n_components_post_union,hull_overhead_pct,bbox_overhead_pct,max_member_centroid_km,mean_member_centroid_km,isoperimetric_q
DPD,30177,3,3,1.0,1.0,0.0,1.0,1.0,42,True,740.04,113.324,3.566388888888889,3,3,48.9148,OK,565.0,69.0,3.576189607493106,12.44,8.18840579710145,2.4565217391304346,3,157.98938591403788,1.595631950980105,5.178417443092729,0.0906381005443913,0.8055657991548303,43.243054864636726,12.477344448507626,13.347963501498889,0.5011425304452036,0.4016580289061935,1.1275280845952544,0.8353982300884956,18.297283683982723,148.0,0.8188405797101449,2.0,3.0,3.0,1,1,16.55826427116613,59.77130347912517,0.0,0.0,0.4725620432976825
DHL,30657,3,1,1.0,1.0,0.0,1.0,1.0,42,True,1875.75,160.817,8.328611111111112,8,8,38.4291,OK,1717.0,132.0,12.670949194485749,6.56,13.007575757575758,7.465217391304348,8,135.50681749613668,7.210076777986936,11.244709180750425,0.1032267648504525,1.6562632752472677,18.30771073104364,5.625742937634782,8.179636175363036,0.5740302630894851,1.2517671200342242,1.8079865892705609,0.8101339545719278,37.40654946139642,422.0,0.9331521739130436,1.0,3.0,1.0,1,1,29.68495585197271,85.03880330769296,0.0,0.0,0.3106477564289452
DPD,31311,2,2,1.0,1.0,0.0,1.0,1.0,42,True,1050.59,236.792,10.855277777777776,3,3,61.5317,OK,661.0,272.0,139.34872865781722,17.19,2.430147058823529,2.873913043478261,3,4.743495016902108,88.28577221906285,38.91377120322723,0.1324921308590599,6.029716868846643,3.080904127168853,16.570654774617633,23.26885001127325,3.940024565879384,2.9678107835801364,1.348967091376722,0.8895612708018155,1.995097662836598,17.0,0.9579710144927536,2.0,2.0,2.0,1,1,33.23261426531148,77.17210882751733,0.0,0.0,0.2938711802698911
Hermes,30559,3,3,1.0,1.0,0.0,1.0,1.0,42,True,1715.98,358.125,12.261388888888888,6,6,42.1717,OK,1365.0,207.0,19.484913733542943,14.22,6.594202898550725,5.934782608695652,6,70.05419775865755,10.427412642023064,13.507122142011182,0.1023553553919871,1.875085502394255,19.85152090037928,13.718971672998505,15.924514410186964,1.3735986310284298,0.6930629323774226,1.6701575740215604,0.967032967032967,8.23328728599406,74.0,0.9891304347826086,5.0,3.0,3.0,1,1,48.85224925437356,125.7114840891451,0.0,0.0,0.277141536778159
Amazon,30916,0,2,1.0,1.0,0.0,1.0,1.0,42,True,2822.27,559.58,19.79222222222222,10,10,63.905,OK,2125.0,309.0,59.876286869182046,19.41,6.877022653721683,9.23913043478261,10,35.489842659126616,41.35439950023423,25.14159073643908,0.1078384984175033,3.907615202282595,7.471998233180725,18.831206415318416,24.03012630754753,2.5971322353463093,1.8053996613665184,1.303370542983144,0.9976470588235294,9.81500846333864,93.0,0.9239130434782608,0.0,0.0,2.0,1,1,24.068866380659845,81.75075868427409,0.0,0.0,0.3426676232907035
Hermes,30851,3,1,1.0,1.0,0.0,1.0,1.0,42,True,502.9,41.677,3.0097222222222224,2,2,22.1517,OK,317.0,79.0,4.12190647126244,3.44,4.012658227848101,1.3782608695652174,2,76.9061603435438,3.2253140320050964,7.3247299532067425,0.1150387448779775,1.0613267649819411,24.493738971174757,3.323257120771091,4.645385300240339,0.6919538284897634,0.4784466502203524,1.6917939178927028,0.9495268138801262,4.159764084370912,20.0,0.6891304347826087,5.0,3.0,1.0,1,1,24.22181701999828,85.16100964546327,0.0,0.0,0.377693618339725
GLS,30159,4,1,1.0,1.0,0.0,1.0,1.0,42,True,817.75,114.084,5.717222222222222,3,3,27.69,OK,509.0,154.0,6.211813374113817,11.0,3.305194805194805,2.213043478260869,3,81.94064588629314,4.578248827708922,8.456501149332041,0.0923265762504853,1.1501892614668838,33.63731544426905,10.873861162850856,12.41249530264948,0.7293223396796645,0.5548626709523513,1.185088311197595,0.8212180746561886,3.197661324947332,21.0,0.7376811594202899,4.0,4.0,1.0,3,1,48.64321009630044,137.3531453780801,1.9779617667640292,1.7208060377320635,0.1906976332355878
Hermes,30419,2,3,1.0,1.0,0.0,1.0,1.0,42,True,2188.25,202.823,11.3,9,9,40.5205,OK,2025.0,245.0,23.77191867081394,4.3,8.26530612244898,8.804347826086957,9,85.18454181345493,22.23535468591232,18.51135410868541,0.1040573991672472,2.380151755019265,11.018488504490776,4.362837463193715,6.932571562535476,1.5543818441051969,1.1667909244054475,1.5601651001606307,0.9639506172839506,9.956590495447934,88.0,0.9782608695652174,5.0,2.0,3.0,1,1,43.385312274444885,86.44204041340043,0.0,0.0,0.2341147833293431
DPD,30938,5,1,1.0,1.0,0.0,1.0,1.0,42,True,683.28,163.459,6.700833333333334,2,2,20.8691,OK,285.0,161.0,153.22446344831192,17.56,1.7701863354037266,1.2391304347826086,2,1.860016302789278,64.69732069945229,30.402313163981884,0.2020237936906077,4.00328836046535,2.488511089167298,14.668188769454702,21.70979649006726,2.313720377458538,2.493595624938891,1.101328924852388,0.7894736842105263,2.930347629951072,37.0,0.6195652173913043,2.0,5.0,1.0,1,1,18.493229703301036,53.81579016296296,0.0,0.0,0.338063800310323
DPD,30167,1,2,1.0,1.0,0.0,1.0,1.0,42,True,1348.65,278.424,8.175555555555556,5,5,27.21,OK,1066.0,136.0,5.368928981069905,16.37,7.838235294117647,4.6347826086956525,5,198.54984183224764,4.121748110364951,7.87988138106366,0.0847660792078848,1.2108338215379637,32.99570870379029,16.056844056479555,17.332524330077007,0.586610943149857,0.7776000596347008,1.166843581684953,0.7345215759849906,8.784361596070545,61.0,0.9269565217391303,2.0,1.0,2.0,2,1,29.77255982479476,109.76107927337074,1.274823622069441,1.274823622069441,0.3382140829347032
