penalty,share_willing,init_cost_eur,bal_cost_eur,max_fleet_before,max_fleet_after,total_swaps,total_routes_before,total_routes_after,imbalance_before,imbalance_after,wait_init,wait_bal,saving_init_pct,saving_bal_pct,fleet_red_pct,delta_pct
0.5,1.0,1639747.6369692304,1651607.4822529044,862.0,738.0,91,5967.0,6019.0,458.0,199.0,0.2125126999332346,0.22832698666539994,14.137998713653856,13.516982388919368,14.385150812064966,0.7232725948972735
0.75,0.0,1909747.7491827162,1909747.7491827162,894.0,894.0,0,6397.0,6397.0,446.0,446.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.1,1748258.4392031326,1765149.138356126,883.0,857.0,61,6312.0,6359.0,433.0,350.0,0.3455915068124421,0.3513401893180696,8.456054473617971,7.57160786750354,2.944507361268403,0.9661442939004007
0.75,0.2,1750530.085707471,1780538.3036594407,872.0,839.0,100,6286.0,6362.0,421.0,291.0,0.2573250575950219,0.2722847212875951,8.337104392105347,6.765785982916917,3.7844036697247705,1.7142360589502228
0.75,0.3,1747412.8877301973,1779462.0386592005,872.0,835.0,116,6282.0,6345.0,435.0,285.0,0.20860864149638858,0.2237480174909418,8.500330031648986,6.822142378713209,4.243119266055046,1.834091481987037
0.75,0.4,1745731.5217378237,1777189.1209009362,871.0,826.0,113,6286.0,6362.0,434.0,259.0,0.18410984353682253,0.20426163577779008,8.588371292233955,6.941159026814354,5.1664753157290475,1.801972340614974
0.75,0.5,1742461.8801968098,1770220.941126246,868.0,817.0,115,6298.0,6376.0,426.0,242.0,0.17040288806377804,0.18737092249676068,8.75957932441586,7.306033381433818,5.875576036866359,1.5930943020860158
0.75,0.6,1738156.892699232,1762435.9493822549,881.0,811.0,119,6331.0,6401.0,411.0,219.0,0.16309696283570707,0.1859809890246187,8.985001111110988,7.7136784092822746,7.945516458569807,1.3968276848310937
0.75,0.7,1739736.0470126625,1758492.578371504,900.0,816.0,107,6361.0,6424.0,438.0,222.0,0.14904470112603874,0.16566070000712516,8.902311954173575,7.920164894863333,9.333333333333334,1.078125120822139
0.75,0.8,1741362.8823901187,1754162.4358991664,889.0,839.0,71,6425.0,6462.0,398.0,256.0,0.133574665051631,0.14592190299758007,8.817126076711363,8.146903869902879,5.62429696287964,0.7350307990646735
0.75,0.9,1736731.9435025447,1751068.796725819,910.0,855.0,84,6489.0,6539.0,418.0,264.0,0.12715067596631646,0.14071591997656613,9.059615635322222,8.308895901294012,6.043956043956044,0.825507544610509
0.75,1.0,1705855.966252953,1714467.2800550887,837.0,777.0,70,6074.0,6111.0,413.0,251.0,0.12855868622654304,0.13851332272476574,10.676372469454119,10.225458792199051,7.168458781362007,0.5048089623329144
1.0,0.0,1909747.7491827162,1909747.7491827162,894.0,894.0,0,6397.0,6397.0,446.0,446.0,0.0,0.0,0.0,0.0,0.0,0.0
