penalty,share_willing,peak_a,total_a,cv_a,peak_red_pct,cv_red_pct,total_red_pct
5.0,0.1,1230.0,6387.0,0.12783518283239098,0.7263922518159807,5.13135525464144,0.1563232765358762
5.0,0.2,1219.0,6393.0,0.11995865641012524,1.6142050040355125,10.976658327122546,0.06252931061435048
5.0,0.3,1223.0,6381.0,0.12697968445698887,1.29136400322841,5.766235024498425,0.2501172424574019
5.0,0.4,1239.0,6397.0,0.13474966694793572,0.0,0.0,0.0
5.0,0.5,1239.0,6397.0,0.13474966694793572,0.0,0.0,0.0
5.0,0.6,1239.0,6397.0,0.13474966694793572,0.0,0.0,0.0
5.0,0.7,1239.0,6397.0,0.13474966694793572,0.0,0.0,0.0
5.0,0.8,1239.0,6397.0,0.13474966694793572,0.0,0.0,0.0
5.0,0.9,1239.0,6397.0,0.13474966694793572,0.0,0.0,0.0
5.0,1.0,1239.0,6397.0,0.13474966694793572,0.0,0.0,0.0
10.0,0.0,1239.0,6397.0,0.13474966694793572,0.0,0.0,0.0
10.0,0.1,1232.0,6383.0,0.1312223692565268,0.5649717514124294,2.617667094325201,0.21885258715022668
10.0,0.2,1234.0,6395.0,0.13242543757788136,0.4035512510088781,1.7248498068291256,0.03126465530717524
10.0,0.3,1239.0,6397.0,0.13474966694793572,0.0,0.0,0.0
10.0,0.4,1239.0,6397.0,0.13474966694793572,0.0,0.0,0.0
10.0,0.5,1239.0,6397.0,0.13474966694793572,0.0,0.0,0.0
10.0,0.6,1239.0,6397.0,0.13474966694793572,0.0,0.0,0.0
10.0,0.7,1239.0,6397.0,0.13474966694793572,0.0,0.0,0.0
10.0,0.8,1239.0,6397.0,0.13474966694793572,0.0,0.0,0.0
10.0,0.9,1239.0,6397.0,0.13474966694793572,0.0,0.0,0.0
10.0,1.0,1239.0,6397.0,0.13474966694793572,0.0,0.0,0.0
