penalty,share_willing,provider,hub,day,fleet_before,fleet_after
0.0,0.1,DHL,Brief- und Logistikzentrum in Pattensen (Hannover),4,25.0,25.0
0.0,0.1,DHL,Brief- und Logistikzentrum in Pattensen (Hannover),5,17.0,17.0
0.0,0.1,DHL,"Deutsche Post, Bantorf",0,10.0,10.0
0.0,0.1,DHL,"Deutsche Post, Bantorf",1,11.0,11.0
0.0,0.1,DHL,"Deutsche Post, Bantorf",2,13.0,13.0
0.0,0.1,DHL,"Deutsche Post, Bantorf",3,12.0,12.0
0.0,0.1,DHL,"Deutsche Post, Bantorf",4,10.0,10.0
0.0,0.1,DHL,"Deutsche Post, Bantorf",5,8.0,8.0
0.0,0.1,DHL,"Deutsche Post, Bissendorf",0,43.0,43.0
0.0,0.1,DHL,"Deutsche Post, Bissendorf",1,48.0,48.0
0.0,0.1,DHL,"Deutsche Post, Bissendorf",2,53.0,53.0
0.0,0.1,DHL,"Deutsche Post, Bissendorf",3,49.0,49.0
0.0,0.1,DHL,"Deutsche Post, Bissendorf",4,41.0,41.0
0.0,0.1,DHL,"Deutsche Post, Bissendorf",5,32.0,32.0
0.0,0.1,DHL,"Deutsche Post, Burgdorf",0,10.0,10.0
0.0,0.1,DHL,"Deutsche Post, Burgdorf",1,10.0,10.0
0.0,0.1,DHL,"Deutsche Post, Burgdorf",2,12.0,12.0
0.0,0.1,DHL,"Deutsche Post, Burgdorf",3,11.0,11.0
0.0,0.1,DHL,"Deutsche Post, Burgdorf",4,9.0,9.0
0.0,0.1,DHL,"Deutsche Post, Burgdorf",5,7.0,7.0
0.0,0.1,DHL,"Deutsche Post, Garbsen",0,12.0,12.0
0.0,0.1,DHL,"Deutsche Post, Garbsen",1,13.0,13.0
0.0,0.1,DHL,"Deutsche Post, Garbsen",2,15.0,15.0
0.0,0.1,DHL,"Deutsche Post, Garbsen",3,15.0,15.0
0.0,0.1,DHL,"Deutsche Post, Garbsen",4,12.0,12.0
0.0,0.1,DHL,"Deutsche Post, Garbsen",5,9.0,9.0
0.0,0.1,DHL,"Deutsche Post, Lehrte",0,14.0,14.0
0.0,0.1,DHL,"Deutsche Post, Lehrte",1,15.0,15.0
0.0,0.1,DHL,"Deutsche Post, Lehrte",2,17.0,17.0
0.0,0.1,DHL,"Deutsche Post, Lehrte",3,15.0,15.0
0.0,0.1,DHL,"Deutsche Post, Lehrte",4,13.0,13.0
0.0,0.1,DHL,"Deutsche Post, Lehrte",5,10.0,10.0
0.0,0.1,DHL,"Deutsche Post, Neustadt",0,13.0,13.0
0.0,0.1,DHL,"Deutsche Post, Neustadt",1,15.0,15.0
0.0,0.1,DHL,"Deutsche Post, Neustadt",2,16.0,16.0
0.0,0.1,DHL,"Deutsche Post, Neustadt",3,15.0,15.0
0.0,0.1,DHL,"Deutsche Post, Neustadt",4,13.0,13.0
0.0,0.1,DHL,"Deutsche Post, Neustadt",5,10.0,10.0
0.0,0.1,DHL,"Deutsche Post, Springe",0,9.0,9.0
0.0,0.1,DHL,"Deutsche Post, Springe",1,9.0,9.0
0.0,0.1,DHL,"Deutsche Post, Springe",2,11.0,11.0
0.0,0.1,DHL,"Deutsche Post, Springe",3,10.0,10.0
0.0,0.1,DHL,"Deutsche Post, Springe",4,8.0,8.0
