penalty,share_willing,provider,plz,schedule_idx_system_smoothed,schedule_size_system_smoothed,weekdays_system_smoothed,avg_wait_d_system_smoothed,dd_cost_system_smoothed
0.0,0.0,FedEx,30989,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,2473.2391948618315
0.0,0.0,FedEx,31275,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,5422.493872435705
0.0,0.0,FedEx,31303,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,3973.889348501275
0.0,0.0,FedEx,31311,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,3062.8021398398528
0.0,0.0,FedEx,31319,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,2817.067630852216
0.0,0.0,FedEx,31515,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,5470.280769208987
0.0,0.0,FedEx,31535,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,6228.495098699879
0.0,0.0,FedEx,31832,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,4547.708372184966
0.0,0.0,GLS,30159,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,4840.335510593373
0.0,0.0,GLS,30161,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,3003.1123197883485
0.0,0.0,GLS,30163,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,4530.9209569497225
0.0,0.0,GLS,30165,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,2518.402065806431
0.0,0.0,GLS,30167,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,3486.182323664188
0.0,0.0,GLS,30173,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,2554.876072428404
0.0,0.0,GLS,30179,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,2012.9451781141183
0.0,0.0,GLS,30419,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,5101.804856969734
0.0,0.0,GLS,30449,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,3412.5020081467483
0.0,0.0,GLS,30453,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,3168.728615727752
0.0,0.0,GLS,30455,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,2732.89498767275
0.0,0.0,GLS,30457,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,2344.3788154149365
0.0,0.0,GLS,30459,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,2084.898287419
0.0,0.0,GLS,30519,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,3551.9496596439303
0.0,0.0,GLS,30539,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,2580.3663075652257
0.0,0.0,GLS,30559,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,3658.07773972127
0.0,0.0,GLS,30625,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,2259.120465339716
0.0,0.0,GLS,30627,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,1778.1322716706136
0.0,0.0,GLS,30629,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,2143.7517893568083
0.0,0.0,GLS,30655,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,2960.5284409044616
0.0,0.0,GLS,30657,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,2873.29432340711
0.0,0.0,GLS,30659,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,2313.189380462103
0.0,0.0,GLS,30823,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,4081.015497318999
0.0,0.0,GLS,30826,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,4802.849009920454
0.0,0.0,GLS,30827,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,3413.7429042160657
0.0,0.0,GLS,30851,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,2060.294614633456
0.0,0.0,GLS,30853,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,2481.088173620477
0.0,0.0,GLS,30855,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,8370.230959567252
0.0,0.0,GLS,30880,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,4450.294123718125
0.0,0.0,GLS,30890,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,6293.752660817818
0.0,0.0,GLS,30900,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,7176.610893793414
0.0,0.0,GLS,30916,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,5182.054562818042
0.0,0.0,GLS,30926,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,5707.156100114085
0.0,0.0,GLS,30938,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,5298.987880460923
0.0,0.0,GLS,30952,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,4052.359581403284
0.0,0.0,GLS,30966,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,3510.9395596477075
0.0,0.0,GLS,30974,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,3101.933528043918
0.0,0.0,GLS,30982,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,2386.647671549595
0.0,0.0,GLS,30989,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,3148.477695946504
0.0,0.0,GLS,31275,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,6805.937726269975
0.0,0.0,GLS,31303,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,5596.886925837495
0.0,0.0,GLS,31311,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,4871.049261225609
0.0,0.0,GLS,31319,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,4437.068207504176
0.0,0.0,GLS,31515,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,8050.858133283889
0.0,0.0,GLS,31535,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,10569.427946070218
0.0,0.0,GLS,31832,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,5153.98445539914
0.0,0.0,Hermes,30159,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,6103.311963748475
0.0,0.0,Hermes,30161,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,3205.3444612983394
0.0,0.0,Hermes,30163,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,3151.45637345559
0.0,0.0,Hermes,30165,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,3165.918762514473
0.0,0.0,Hermes,30167,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,4309.333549458941
0.0,0.0,Hermes,30173,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,3377.006730770633
0.0,0.0,Hermes,30177,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,2975.551858278056
0.0,0.0,Hermes,30179,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,2972.7332058248016
0.0,0.0,Hermes,30419,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,5546.714589306118
0.0,0.0,Hermes,30449,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,4264.762288981972
0.0,0.0,Hermes,30453,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,3456.6569376644597
0.0,0.0,Hermes,30455,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,3386.072102347572
0.0,0.0,Hermes,30457,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,3390.444876005929
0.0,0.0,Hermes,30459,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,3359.004573372854
0.0,0.0,Hermes,30519,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,5162.317584328793
0.0,0.0,Hermes,30539,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,3748.1337976976
