penalty,share_willing,provider,system_smooth_swaps,system_smoothed_cost_eur,cost_pre_smoothing,provider_spread_before,provider_spread_after
0.25,0.2,Amazon,0,333938.07616960054,333938.07616960054,63.0,63.0
0.25,0.2,DPD,0,184063.4509211096,184063.4509211096,12.0,12.0
0.25,0.2,FedEx,0,144032.39881536705,144032.39881536705,4.0,4.0
0.25,0.2,GLS,0,162461.9504551571,162461.9504551571,14.0,14.0
0.25,0.2,Hermes,0,209157.66208786337,209157.66208786337,26.0,26.0
0.25,0.2,UPS,0,166829.16496076144,166829.16496076144,1.0,1.0
0.25,0.3,DHL,11,559613.8713242818,556955.4762427062,133.0,98.0
0.25,0.3,Amazon,0,338861.1955490387,338861.1955490387,41.0,41.0
0.25,0.3,DPD,0,179651.44324322545,179651.44324322545,8.0,8.0
0.25,0.3,FedEx,0,139297.45147095263,139297.45147095263,2.0,2.0
0.25,0.3,GLS,0,160325.62930136427,160325.62930136427,11.0,11.0
0.25,0.3,Hermes,0,208817.6455130009,208817.6455130009,21.0,21.0
0.25,0.3,UPS,0,165610.25118157163,165610.25118157163,2.0,2.0
0.25,0.4,DHL,5,557917.5529333272,556511.856527302,124.0,107.0
0.25,0.4,Amazon,0,335140.9101856341,335140.9101856341,32.0,32.0
0.25,0.4,DPD,0,175853.80806098456,175853.80806098456,10.0,10.0
0.25,0.4,FedEx,0,136887.22038105904,136887.22038105904,5.0,5.0
0.25,0.4,GLS,0,157655.48108896305,157655.48108896305,7.0,7.0
0.25,0.4,Hermes,0,203960.762491714,203960.762491714,16.0,16.0
0.25,0.4,UPS,0,166419.5313474944,166419.5313474944,1.0,1.0
0.25,0.5,DHL,2,561217.8610079173,560263.5780327225,139.0,127.0
0.25,0.5,Amazon,0,336321.52220348275,336321.52220348275,11.0,11.0
0.25,0.5,DPD,0,173788.49237496476,173788.49237496476,7.0,7.0
0.25,0.5,FedEx,0,135573.01924338762,135573.01924338762,3.0,3.0
0.25,0.5,GLS,0,153926.18907773815,153926.18907773815,4.0,4.0
0.25,0.5,Hermes,0,201492.75291385435,201492.75291385435,11.0,11.0
0.25,0.5,UPS,0,163615.9834960426,163615.9834960426,6.0,6.0
